BOOK TITLE                                                                          | SUBTITLE                                                                                                              | PAGES
Microsoft Outlook 2007 Programming                                                  | Jumpstart Application and Workflow Development                                                                        | 600
Microsoft Outlook 2010 Inside Out                                                   | N/A                                                                                                                   | 1080
Microsoft Outlook 2016 Step by Step                                                 | N/A                                                                                                                   | 432
Microsoft Outlook Programming                                                       | Jumpstart Application and Workflow Development                                                                        | 584
Outlook 2007 Bible                                                                  | N/A                                                                                                                   | 936
T-SQL Querying                                                                      | N/A                                                                                                                   | 752
Outlook for Dummies                                                                 | N/A                                                                                                                   | 408
Professional Outlook 2007 Programming (Programmer to Programmer)                   | N/A                                                                                                                   | 600
Programming Applications for Microsoft Office Outlook 2007                         | N/A                                                                                                                   | 652
The Microsoft Outlook Ideas Book                                                    | N/A                                                                                                                   | 368
Total Workday Control Using Microsoft Outlook                                       | The Eight Best Practices of Task and E-Mail Management                                                                | 312
Hands-On Microsoft Teams                                                            | A Practical Guide to Maximizing Productivity for Managers and Businesses with Microsoft Teams                         | 414
Introducing Microsoft Teams                                                         | Understanding the New Chat-Based Workspace in Office 365                                                              | 228
Microsoft Teams for Dummies                                                         | N/A                                                                                                                   | 384
Beginning Microsoft Word Business Documents                                         | From Novice to Professional                                                                                           | 352
T-SQL Window Functions                                                              | For Data Analysis and Beyond                                                                                          | 320
Microsoft 365 Word Tips and Tricks                                                  | N/A                                                                                                                   | 460
Microsoft Word 2010 Bible                                                           | N/A                                                                                                                   | 1080
Microsoft Word 2010 In Depth                                                        | N/A                                                                                                                   | 984
Microsoft Word 2013 Bible                                                           | N/A                                                                                                                   | 1056
Microsoft Word 2016 for Professionals for Dummies                                   | N/A                                                                                                                   | 375
Microsoft Word for Dummies                                                          | N/A                                                                                                                   | 384
Word 2007 Macros & VBA Made Easy                                                    | N/A                                                                                                                   | 256
Word for Dummies                                                                    | N/A                                                                                                                   | 384
Effective MySQL Replication Techniques in Depth                                     | N/A                                                                                                                   | 336
Absolute Beginner's Guide to VBA                                                    | N/A                                                                                                                   | 392
Concepts of Object-Oriented Programming with Visual Basic                           | N/A                                                                                                                   | 344
Data Analytics and Visualization All-in-One for Dummies                             | N/A                                                                                                                   | 672
Microsoft OneNote Step by Step                                                      | N/A                                                                                                                   | 368
Programming Microsoft Office 365                                                    | Covers SharePoint Online, Exchange Online, Lync Online and More                                                       | 792
Efficient MySQL Performance                                                         | Best Practices and Techniques                                                                                         | 396
VBA Developer's Handbook                                                            | N/A                                                                                                                   | 1000
Analyzing Data with Power BI and Power Pivot for Excel                              | N/A                                                                                                                   | 384
Collect, Combine, and Transform Data Using Power Query in Excel and Power BI        | N/A                                                                                                                   | 320
Collect, Transform and Combine Data using Power BI and Power Query in Excel         | N/A                                                                                                                   | 280
Data Mashup with Microsoft Excel Using Power Query and M                            | N/A                                                                                                                   | 252
Learn Power Query                                                                   | A Practical Guide to Transforming and Analyzing Data in Excel and Power BI                                            | 424
M Is for (Data) Monkey                                                              | A Guide to the M Language in Excel Power Query                                                                        | 248
Testing Web APIs                                                                    | N/A                                                                                                                   | 312
Expert MySQL (2nd Edition)                                                          | N/A                                                                                                                   | 480
Mastering Power Query in Power BI and Excel                                         | N/A                                                                                                                   | 486
Power Pivot and Power BI                                                            | The Excel User's Guide to DAX, Power Query, Power BI Desktop, and Power Pivot in Excel                               | 296
Power Query Cookbook                                                                | Recipes to Simplify Data Transformation and Preparation in Power BI Desktop and Excel                                 | 386
Power Query for Power BI and Excel                                                  | N/A                                                                                                                   | 300
The Definitive Guide to Power Query (M) - First Edition                             | Mastering Power Query in Microsoft Excel and Power BI                                                                 | 618
Learn SQL in One Day and Learn It Well                                              | SQL for Beginners with Hands-on Project                                                                               | 178
Head First SQL                                                                      | Your Brain on SQL -- A Learner's Guide                                                                                | 588
100 SQL Server Mistakes and How to Avoid Them                                       | N/A                                                                                                                   | 408
A Guide to SQL                                                                      | N/A                                                                                                                   | 480
Concepts of Database Management                                                     | N/A                                                                                                                   | 736
Data Analysis Using SQL and Excel                                                   | N/A                                                                                                                   | 648
Data Mining and Predictive Analytics                                                | N/A                                                                                                                   | 840
Data Wrangling with SQL                                                             | How to Organize, Transform, and Clean Data Using SQL                                                                  | 300
Database Design for Mere Mortals                                                    | A Hands-On Guide to Relational Database Design                                                                        | 672
Discovering SQL                                                                     | A Hands-On Guide for Beginners                                                                                        | 408
Dynamic SQL                                                                         | Applications, Performance, and Security                                                                               | 360
Efficient MySQL Performance                                                         | Best Practices and Techniques                                                                                         | 396
Introducing the MySQL 8 Document Store                                              | N/A                                                                                                                   | 280
High Performance MySQL                                                              | Proven Strategies for Operating at Scale                                                                              | 830
Learn PostgreSQL                                                                    | Build and Manage High-Performance Database Solutions Using PostgreSQL 12 and 13                                       | 652
Learn SQL in a Month of Lunches                                                     | N/A                                                                                                                   | 328
Learning MySQL                                                                      | Get a Handle on Your Data                                                                                             | 638
MySQL Concurrency                                                                   | Locking and Transactions for MySQL Developers and DBAs                                                                | 440
MySQL Crash Course                                                                  | N/A                                                                                                                   | 352
MySQL Pocket Reference                                                              | SQL Statements, Functions, and Utilities                                                                              | 178
NoSQL for Mere Mortals                                                              | N/A                                                                                                                   | 504
Murach's MySQL (3rd Edition)                                                        | N/A                                                                                                                   | 600
Practical SQL                                                                       | A Beginner's Guide to Storytelling with Data                                                                          | 466
Professional NoSQL                                                                  | N/A                                                                                                                   | 360
SQL All-in-One for Dummies                                                          | N/A                                                                                                                   | 912
SQL and Relational Theory (3rd Edition)                                             | How to Write Accurate SQL Code                                                                                        | 468
SQL Clearly Explained (Second Edition)                                              | N/A                                                                                                                   | 384
SQL Cookbook                                                                        | Query Solutions and Techniques for All SQL Users                                                                      | 628
SQL for Data Analysis                                                               | Advanced Techniques for Transforming Data into Insights                                                               | 348
MySQL Cookbook                                                                      | Solutions for Database Developers and Administrators                                                                  | 882
SQL for Data Scientists                                                             | A Beginner's Guide for Building Datasets for Analysis                                                                 | 342
SQL for MySQL Developers                                                            | A Comprehensive Tutorial and Reference                                                                                | 1024
SQL in 24 Hours, Sams Teach Yourself                                                | N/A                                                                                                                   | 624
SQL Pocket Guide                                                                    | A Guide to SQL Usage                                                                                                  | 206
MySQL High Availability                                                             | Tools for Building Robust Data Centers                                                                                | 622
SQL Primer                                                                          | An Accelerated Introduction to SQL Basics                                                                             | 199
SQL Visual QuickStart Guide                                                         | N/A                                                                                                                   | 456
T-SQL Window Functions                                                              | For Data Analysis and Beyond                                                                                          | 320
Beautiful Visualization                                                             | Looking at Data through the Eyes of Experts                                                                           | 397
Effective Data Visualization                                                        | The Right Chart for the Right Data                                                                                    | 360
Storytelling with Data                                                              | A Data Visualization Guide for Business Professionals                                                                 | 288
MySQL Stored Procedure Programming                                                  | Building High-Performance Web Applications in MySQL                                                                   | 636
The Visual Display of Quantitative Information                                      | N/A                                                                                                                   | 213
JavaScript from Beginner to Professional                                            | Learn JavaScript Quickly by Building Fun, Interactive, and Dynamic Web Apps, Games, and Pages                         | 490
Python Programming Using Problem-Solving Approach                                   | N/A                                                                                                                   | 544
ReportLab                                                                           | PDF Processing with Python                                                                                            | 300
Beginning Regular Expressions                                                       | N/A                                                                                                                   | 792
Introducing Regular Expressions                                                     | Unraveling Regular Expressions, Step-by-Step                                                                          | 154
Learning Regular Expressions                                                        | N/A                                                                                                                   | 138
Mastering Python Regular Expressions                                                | N/A                                                                                                                   | 110
Mastering Regular Expressions (3rd Edition)                                         | Understand Your Data and Be More Productive                                                                           | 544
Regular Expression Pocket Reference                                                 | Regular Expressions for Perl, Ruby, PHP, Python, C, Java and .NET                                                    | 188
Practical PHP and MySQL Website Databases                                           | A Simplified Approach                                                                                                 | 396
Regular Expression Puzzles and AI Coding Assistants                                 | N/A                                                                                                                   | 272
Regular Expression Recipes                                                          | A Problem-Solution Approach                                                                                           | 272
Regular Expressions Cookbook (2nd Edition)                                          | Detailed Solutions in Eight Programming Languages                                                                     | 612
Sams Teach Yourself Regular Expressions in 10 Minutes                               | N/A                                                                                                                   | 240
Fundamentals of Software Architecture                                               | An Engineering Approach                                                                                               | 432
Professional Microsoft SQL Server 2012 Reporting Services                           | N/A                                                                                                                   | 936
All of Statistics                                                                   | A Concise Course in Statistical Inference                                                                             | 442
Applied Multivariate Statistical Analysis                                           | N/A                                                                                                                   | 826
Probability (Blitzstein & Hwang)                                                    | N/A                                                                                                                   | 596
The Design of Web APIs                                                              | N/A                                                                                                                   | 392
Pro MySQL                                                                           | N/A                                                                                                                   | 768
Business Statistics for Dummies                                                     | N/A                                                                                                                   | 408
Business Statistics (Ken Black)                                                     | N/A                                                                                                                   | 856
Even You Can Learn Statistics and Analytics                                         | An Easy-to-Understand Guide to Statistics and Analytics                                                               | 360
Geometry for Programmers                                                            | N/A                                                                                                                   | 344
Hypothesis Testing (Jim Frost)                                                      | An Intuitive Guide to Making Data-Driven Decisions                                                                    | 286
Introduction to Statistics (Jim Frost)                                              | An Intuitive Guide for Analyzing Data and Unlocking Discoveries                                                       | 272
Introduction to the Theory of Statistics                                            | N/A                                                                                                                   | 512
SQL Antipatterns                                                                    | Avoiding the Pitfalls of Database Programming                                                                         | 328
Introductory Statistics                                                             | N/A                                                                                                                   | 908
Math in Minutes                                                                     | 200 Key Concepts Explained in an Instant                                                                              | 416
The Signal and the Noise                                                            | Why So Many Predictions Fail — But Some Don't                                                                         | 544
Probability for Dummies                                                             | N/A                                                                                                                   | 384
Regression Analysis (Jim Frost)                                                     | An Intuitive Guide for Using and Interpreting Linear Models                                                           | 296
Seeing with Fresh Eyes                                                              | Meaning, Expression, Wonder, and Awe                                                                                  | 208
Statistical Methods                                                                 | N/A                                                                                                                   | 768
Statistical Analysis with Excel for Dummies                                         | N/A                                                                                                                   | 560
Statistical Inference                                                               | N/A                                                                                                                   | 688
The Definitive Guide to MySQL 5 (3rd Edition)                                       | N/A                                                                                                                   | 760
Statistical Models                                                                  | Theory and Practice                                                                                                   | 458
Statistics                                                                          | N/A                                                                                                                   | 960
Statistics All-in-One for Dummies                                                   | N/A                                                                                                                   | 736
Statistics for Business and Economics                                               | N/A                                                                                                                   | 1080
Statistics for Managers Using Microsoft Excel                                       | N/A                                                                                                                   | 792
Statistics for People Who (Think They) Hate Statistics                              | N/A                                                                                                                   | 600
Statistics Without Tears                                                            | A Primer for Non-Mathematicians                                                                                       | 256
Understanding MySQL Internals                                                       | N/A                                                                                                                   | 264
The Foundations of Statistics                                                       | N/A                                                                                                                   | 350
The Elements of Statistical Learning                                                | Data Mining, Inference, and Prediction                                                                                | 764
Think Bayes                                                                         | Bayesian Statistics in Python                                                                                         | 212
Beginning Oracle SQL                                                                | For Oracle Database 18c                                                                                               | 366
Communicating Data with Tableau                                                     | Designing, Developing, and Delivering Data Visualizations                                                             | 408
Innovative Tableau                                                                  | 100 More Tips, Tutorials, and Strategies                                                                              | 432
Mastering Tableau                                                                   | Smart Business Intelligence Techniques                                                                                | 466
Practical Tableau                                                                   | 100 Tips, Tutorials, and Strategies from a Tableau Zen Master                                                         | 386
Pro Tableau                                                                         | A Step-by-Step Guide                                                                                                  | 476
Tableau Dashboard Cookbook                                                          | Over 40 Recipes for Building Professional Dashboards with Tableau Software                                            | 282
Expert PL/SQL Practices for Oracle Developers and DBAs                              | N/A                                                                                                                   | 348
Tableau Desktop Cookbook                                                            | Recipes for Building Compelling Visualizations                                                                        | 466
Tableau Desktop Pocket Reference                                                    | N/A                                                                                                                   | 128
Tableau for Dummies                                                                 | N/A                                                                                                                   | 384
Tableau Strategies                                                                  | Analytics That Work                                                                                                   | 434
Tableau Your Data!                                                                  | Fast and Easy Visual Analysis with Tableau Software                                                                   | 480
Visual Data Storytelling with Tableau                                               | N/A                                                                                                                   | 368
Better Data Visualizations                                                          | A Guide for Scholars, Researchers, and Wonks                                                                          | 312
Better Presentations                                                                | A Guide for Scholars, Researchers, and Wonks                                                                          | 160
Cartographies of Time                                                               | A History of the Timeline                                                                                             | 272
Mastering Oracle SQL                                                                | N/A                                                                                                                   | 484
Cool Infographics                                                                   | Effective Communication with Data Visualization and Design                                                            | 360
Data Analytics and Visualization All-in-One for Dummies                             | N/A                                                                                                                   | 672
Data Points                                                                         | Visualization That Means Something                                                                                    | 300
Design for Information                                                              | An Introduction to the Histories, Theories, and Best Practices Behind Effective Information Visualizations            | 230
Good Charts                                                                         | The HBR Guide to Making Smarter, More Persuasive Data Visualizations                                                  | 256
Grid Systems in Graphic Design                                                      | A Visual Communication Manual for Graphic Designers, Typographers and Three Dimensional Designers                     | 200
Information Dashboard Design                                                        | Displaying Data for At-a-Glance Monitoring                                                                            | 286
Information Graphics                                                                | N/A                                                                                                                   | 480
Information Is Beautiful                                                            | N/A                                                                                                                   | 256
Murach's Oracle SQL and PL/SQL for Developers                                       | N/A                                                                                                                   | 560
MySQL for IoT                                                                       | N/A                                                                                                                   | 226
Show Me the Numbers                                                                 | Designing Tables and Graphs to Enlighten                                                                              | 396
Storytelling with Data                                                              | A Data Visualization Guide for Business Professionals                                                                 | 288
Visual Thinking for Design                                                          | N/A                                                                                                                   | 208
Mastering Visual Studio 2017                                                        | N/A                                                                                                                   | 364
Professional Visual Studio 2015                                                     | N/A                                                                                                                   | 1100
Visual Studio Code Distilled                                                        | Evolved Code Editing for Windows, macOS, and Linux                                                                    | 276
Beginning CSS (3rd Edition)                                                         | Cascading Style Sheets for Web Design                                                                                 | 434
Oracle Database 12c PL/SQL Programming                                              | N/A                                                                                                                   | 848
Beginning HTML and CSS                                                              | N/A                                                                                                                   | 768
CSS in Depth                                                                        | N/A                                                                                                                   | 472
CSS Mastery                                                                         | Advanced Web Standards Solutions                                                                                      | 360
CSS Pocket Reference                                                                | Visual Presentation for the Web                                                                                       | 192
CSS Secrets                                                                         | Better Solutions to Everyday Web Design Problems                                                                      | 392
CSS                                                                                 | The Definitive Guide                                                                                                  | 1090
Docs for Developers                                                                 | An Engineer's Field Guide to Technical Writing                                                                        | 248
Eloquent JavaScript                                                                 | A Modern Introduction to Programming                                                                                  | 472
Head First HTML5 Programming                                                        | Building Web Apps with JavaScript                                                                                     | 636
HTML & CSS                                                                          | Design and Build Websites                                                                                             | 512
HTML5 and CSS (8th Edition)                                                         | Introductory                                                                                                          | 648
The Art of SQL                                                                      | N/A                                                                                                                   | 386
HTML and XHTML                                                                      | The Definitive Guide                                                                                                  | 1050
HTML5 Canvas                                                                        | Native Interactivity and Animation for the Web                                                                        | 696
HTML5 in Action                                                                     | N/A                                                                                                                   | 392
HTTP Pocket Reference                                                               | HyperText Transfer Protocol                                                                                           | 192
HTTP                                                                                | The Definitive Guide                                                                                                  | 656
JavaScript                                                                          | The Definitive Guide                                                                                                  | 706
Learn to Code HTML and CSS                                                          | Develop and Style Websites                                                                                            | 240
Database Design and Modeling with PostgreSQL and MySQL                              | Efficient and Scalable Database Design Solutions                                                                      | 326
Learn Web Development with Python                                                   | Work Through Projects with Flask, Bootstrap, and jQuery                                                               | 392
Learning TensorFlow.js                                                              | Powerful Machine Learning in JavaScript                                                                               | 332
Learning Web Design                                                                 | A Beginner's Guide to HTML, CSS, JavaScript, and Web Graphics                                                         | 830
Mastering HTML5 Forms                                                               | N/A                                                                                                                   | 254
Software Engineering at Google                                                      | Lessons Learned from Programming Over Time                                                                            | 602
Introduction to PostgreSQL for the Data Professional                                | N/A                                                                                                                   | 244
Using SVG with CSS3 and HTML5                                                       | Vector Graphics for Web Design                                                                                        | 832
Active Directory (5th Edition)                                                      | Designing, Deploying, and Running Active Directory                                                                    | 720
Computers Made Easy                                                                 | From Dummy to Geek                                                                                                    | 167
Linux Bible (9th Edition)                                                           | N/A                                                                                                                   | 936
Microsoft PowerPoint 2013 Bible                                                     | N/A                                                                                                                   | 1008
Networking for Dummies                                                              | N/A                                                                                                                   | 432
Programming Windows                                                                 | Writing Windows 8 Apps with C# and XAML                                                                              | 1136
Just Use Postgres                                                                   | N/A                                                                                                                   | 250
Windows 10 All-in-One for Dummies                                                   | N/A                                                                                                                   | 960
Windows 10 Bible                                                                    | N/A                                                                                                                   | 1008
Windows 10 for Dummies (2nd Edition)                                                | N/A                                                                                                                   | 432
Windows 10 Inside Out                                                               | N/A                                                                                                                   | 1200
Windows 10 May 2019 Update                                                          | N/A                                                                                                                   | 480
Learn PostgreSQL (Second Edition)                                                   | Use, Manage, and Build Secure and Scalable Databases with PostgreSQL 16                                               | 808
Windows 10 Troubleshooting                                                          | N/A                                                                                                                   | 408
Windows 11 All-in-One for Dummies                                                   | N/A                                                                                                                   | 864
Windows 11 for Dummies                                                              | N/A                                                                                                                   | 448
Windows 11 Inside Out                                                               | N/A                                                                                                                   | 1248
Windows Security Internals                                                          | A Deep Dive into Windows Authentication, Authorization, and Auditing                                                  | 800
Windows System Programming                                                          | N/A                                                                                                                   | 576
Essential PowerShell for Office 365                                                 | N/A                                                                                                                   | 262
Learn PowerShell Scripting in a Month of Lunches (2nd Edition)                      | N/A                                                                                                                   | 424
Mastering PostgreSQL                                                                | N/A                                                                                                                   | 462
Learn Windows PowerShell in a Month of Lunches                                      | N/A                                                                                                                   | 400
Learning PowerShell                                                                 | N/A                                                                                                                   | 286
Mastering Windows PowerShell Scripting                                              | Automate and Manage Your Environment Using PowerShell                                                                 | 576
Microsoft Windows PowerShell Programming for the Absolute Beginner                  | N/A                                                                                                                   | 408
Microsoft Windows PowerShell Step by Step                                           | N/A                                                                                                                   | 448
PowerShell 3.0 Advanced Administration Handbook                                     | N/A                                                                                                                   | 542
PowerShell and WMI                                                                  | N/A                                                                                                                   | 360
Mastering PostgreSQL Administration                                                 | N/A                                                                                                                   | 356
PowerShell Deep Dives                                                               | N/A                                                                                                                   | 472
PowerShell for Beginners                                                            | N/A                                                                                                                   | 328
PowerShell for SQL Server Essentials                                                | N/A                                                                                                                   | 200
PowerShell for Sysadmins                                                            | Workflow Automation Made Easy                                                                                         | 304
PowerShell in Depth                                                                 | An Administrator's Guide                                                                                              | 620
PowerShell in Practice                                                              | N/A                                                                                                                   | 408
PowerShell Pocket Reference                                                         | Portable Help for PowerShell Scripters                                                                                | 252
Practical Automation with PowerShell                                                | N/A                                                                                                                   | 450
Mastering PostgreSQL for Data Engineering and Cloud Deployment                      | N/A                                                                                                                   | 328
Pro PowerShell Desired State Configuration                                          | An In-Depth Guide to Windows PowerShell DSC                                                                           | 348
Pro Windows PowerShell                                                              | N/A                                                                                                                   | 440
Windows PowerShell 4.0 for .NET Developers                                          | N/A                                                                                                                   | 288
Windows PowerShell Cookbook                                                         | The Complete Guide to a Powerful Scripting Language                                                                   | 1000
Windows PowerShell in Action                                                        | N/A                                                                                                                   | 700
Windows PowerShell Pocket Reference                                                 | Portable Help for PowerShell Scripters                                                                                | 228
Windows PowerShell Step by Step                                                     | N/A                                                                                                                   | 544
Beginning XML                                                                       | N/A                                                                                                                   | 792
PostgreSQL 16 Administration Cookbook                                               | Solve Real-World Database Administration Challenges with 180+ Practical Recipes                                       | 652
Learning XML                                                                        | Creating Self-Describing Data                                                                                         | 418
XML Processing with Python                                                          | N/A                                                                                                                   | 432
PostgreSQL                                                                          | Up and Running                                                                                                        | 396
